docID	label	text
studying online	2015	this paper presents a large scale study of online mlis students n  910 who completed at least one online course and were enrolled in 36 of the 58 ala accredited mlis programs in canada and the united states the results indicate that the typical student is female white lives in an urban setting and is in her mid 30s online students were found to be quite diverse with statistically significant differences in their preferences and satisfaction across five demographic variables age generational cohort employment status urban status commute distance and program modality three motivations emerged accommodation predisposition and selectivity which influenced the respondents to choose online learning the prevalent issues online mlis students experienced were a sense of isolation from peers and instructors and a lack of professional development and networking opportunities with peers the findings have implications for enhancing mlis online education including marketing course offerings and student support services
physiological access as a social justice type in lis curricula	2012	this study reports the results of a survey of library and information science lis deans and directors and a content analysis of lis schools curricula as it relates to issues of physiological access a conceptual framework of social justice is applied to analyze curricular approaches to diversity results indicate that lis curricula include both topics of physical impairment and socially classified populations as diversity issues analysis of course titles and brief course descriptions indicate that the type of diversity is not explicitly defined at this macro analytical level the researchers propose further development of the social justice framework to provide a lens for continued examination of diversity in lis education on a micro analytical level
are you my mentor identifying mentors and their roles in lis doctoral education	2012	this study evaluates the assumption of whether or not one can equate mentoring and advising in doctoral education with a focus on the field of library and information science furthermore this study examines the presence of multiple mentors in doctoral education and their interrelationships and roles findings from the study suggest that the advisor serves as the primary and dominant mentor in doctoral education with dissertation committee members serving in a secondary yet purposive role evidence is provided that the acknowledged mentoring roles are more attuned to career over psychosocial mentoring doctoral student colleagues appeared to provide mentoring in the form of role modeling and idea sharing the implications for doctoral education are discussed
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics	2014	the article explores the information landscape ie infoscape of library and information science lis courses for intersections of health gender and health sexual orientation topics concerns and issues this research was considered important because health information support services essential in todays society must include marginalized gender and sexual orientation related content that is deemed taboo in an all pervasive patriarchal and heterosexist culture research methods involved a content analysis of bibliographic course descriptions available on the homepages of graduate programs in canada and the united states that are accredited by the american library association syllabi for lis courses on health information support services gender and sexual orientation were also studied findings map the existing infoscape surrounding the teaching of health information support services in lis and identify future directions for inclusion of gender and sexual orientation topics in the lis curriculum
recruiting and retaining students of color in lis programs perspectives of library and information professionals	2006	the study was conducted to identify effective strategies for recruiting and retaining students of color in library and information science lis using a web based survey the study collected data from librarians of color enrolled in or graduated from ala accredited lis programs study findings help reassess the efforts that lis programs made in recruiting and retaining students of color and shed light on some key areas of focus and improvement for such efforts suggestions are made to develop strategies for diverse lis community and programs
crossing the globe	2018	increasingly library and information science lis programs are offering study abroad opportunities for students to have broader global classroom experiences to gain knowledge and exposure and to think beyond the confines of geographic boundaries while study abroad courses have long been a part of undergraduate and graduate education in north america few opportunities exist for students in lis this paper argues for their continued offering as well as for the creation of new study abroad courses in lis the simple reason is that global study programs help students understand the interconnectedness and inter dependence of the world smith hallam  ghosh 2012 they expose students to other practices in the information professions and create opportunities for library science programs to tap into new markets for recruitment they also foster critical thinking on a range of issues including but not limited to race ethnicity and gender a study abroad program will serve as a model for discussing these factors as well as pedagogy strategies for student learning and cross classroom collaboration
i have two legs not four	2019	this article is a commentary documenting the authors shared experience on the alise mehc panel in 2018 with interwoven narrative addressing lis cultural competency practices and stance
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions	2014	this article is an attempt to reflect on the institutional and disciplinary context of a course on race gender and sexuality in the information professions from the perspective of instructors and students it examines the effectiveness of a course like this as an intervention to the normative landscape of the library and information science lis field that often privileges white male middle class heterosexual us based values and interests in this article we provide a brief background for the re establishment of this course offer a literature review defining the normative landscape of lis and discuss the positive aspects and pitfalls of injecting this course into the curriculum as a diversity intervention finally we offer recommendations for how to further make visible and shift the hegemonic landscape in lis toward an inclusivity that actively deals with how race gender class and sexuality deeply informs our profession
civility and structural precarity for faculty of color in lis	2019	previous studies have established particular patterns of inequity micro and macro aggressions that affect faculty of color at us universities this article provides an autoethnographic perspective on the experiences of women of color in lis it focuses specifically on the ways that prioritizing comfort and civility over equity and justice can create structural precarity â€“ precarity that is built into academic systems of reward and punishment â€“ for female faculty of color the article also gives brief suggestions for resolving this issue
the work calls for men	2016	the leaders of the library profession in the united states in the 19th century were white middle class college educated men they attempted to construct librarianship in the united states as an equivalent profession to the other white masculine professions of their day they also created education for librarianship in the same mold they subscribed to and employed the traditional white western masculine definition of profession as one of expertise derived from education based on science they also employed the control of knowledge and its application as exemplified by the type of professional education they promoted their efforts were not restricted to education but also included active discrimination against female librarians in the library war service during the first world war this paper presents a new perspective on the meaning of profession which recognizes it as situated at the intersection of gender race and nationality and explores the implications for modern education for librarianship
the danger of an untold story	2019	people of color who choose careers in higher education may encounter microaggressions marginalization and other unpleasant situations this narrative shares the experiences and perspectives of one african american academics experiences with the intent of encouraging academic professionals from underrepresented populations to persevere
do you really want a diverse program	2019	despite multiple calls for diversifying academia in general and library and information science programs lis specifically the number of faculty of color working in higher education remains low this work presents the points of view and suggestions of a faculty member concerning the diversity dilemma in lis the work relies on personal narratives in order to present the experiences and point of view of a member of the lis community who constantly navigates the spaces of academia while negotiating the many aspects of their experience through the intersections of race ethnicity and gender the main objective of the work is to present areas for consideration to those who are interested in bringing change and supporting faculty of color
racial battle fatigue	2019	african american women faculty are told that contemporary educational and professional institutions particularly at historically white institutions hwis are places where they can succeed however in these institutions many black women faculty are exposed to racial and gender discrimination and are subjected to racial battle fatigue this article explores experiences of black female faculty and describes the challenges they endure in higher education
diversity and lis education inclusion and the age of information	2011	while lis continues to struggle with representation of populations traditionally considered as core to diversity socio economic and technological changes have significantly increased the range of populations that are disadvantaged underrepresented and excluded in terms of information drawing from studies of diversity in lis education and professions as well as national demographic data this article 1  examines understandings of diversity within the field 2 analyzes the implications of diversity in education recruiting and scholarship and 3 explores models for inclusive diversity education this paper argues that the field needs to embrace a broader more inclusive understanding of diversity to remain culturally relevant
black students in predominantly white library schools	1987	this study sought to determine the nature of the educational experiences and social interactions of black students enrolled at predominantly white library schools from 1962 to 1974 a mail survey was conducted among one half of the persons named in the 1984 membership directory of the black caucus of the american library association from the 328 response 192 was used in this analysis findings indicate that the majority of respondents were not treated as if they were below standard expectations neither were their classroom contributions regarded as of less importance than those of other students the majority also perceived an absence of discriminatory grading practices and required remedial work and felt that their experiences were typical they did not feel themselves to be on display when it seemed to benefit the school however they felt that white students tended to be distant and unfriendly
stigmatizing disability	2017	libraries have historically organized materials about people with disabilities according to conventions created by medical and social scientific communities thereby reproducing dominant often pathologizing and marginalizing discourses about disabilities this paper focuses on libraries treatment of subjects related to physical disabilities by analyzing the national library of medicines medical subject headings library of congress subject headings the library of congress classification and the dewey decimal classification we use the lens of stigma as first theorized by erving goffman to reveal some of the processes and practices by which materials are relegated to the margins on the shelves and in the catalog
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates	1997	in the spring of 1994 the authors surveyed 793 male and female 1993 masters of library and information studies graduates u s and canadian concerning social responsibilities and gender issues and the treatment that these subjects received in their masters degree programs extensive personal data were also solicited including the respondents self identified political orientation sexual orientation marital status educational background and job history the response rate was 58 percent quantitative data and voluminous open ended comments received suggest that librarians and library education are less progressive than commonly depicted in the professional press that some programs do not even discuss womens issues in their courses and that socially nonreactionary female graduates are eager to learn more about these and related issues not only because it will benefit them personally but also because the majority of library clients are female
student conceptions of group work	2018	the use of collaborative pedagogies is a well respected and common feature of higher education and the ability to work well in a team is a desirable graduate and professional attribute however tutors can often experience significant issues with the support and management of student group work and students can find group work difficult to manage and have very negative perceptions of group work this paper examines lis students conceptions of group work as revealed through the students drawings some 146 drawings of group work were collected from taught postgraduate and undergraduate students in an information school the drawings reveal a wide range of conceptions of group work from very process  and tool driven conceptions to more metaphorical conceptions of idea generation puzzle or a site of strength students were concerned with group structures and the role of leader group work is negatively affected by stress and perceptions of unequal contribution of group members implications are drawn for lis educators and suggestions are made for the use of drawing as a method of group support
from the one mule tenant farmer to the hillbilly highway	2017	the following article presents an overview of the poverty and dispossession of the white working class in the twenty first century it explores the manner in which librarians diminished connection to labor and denigration of trump voters are combining to erode the library mission of service to all it concludes with suggestions for reconnection and renewal
we will not be silent	2017	this article focuses on the role of lis faculty and researchers in the aftermath of the 2016 presidential election key points include our responsibility to educate ourselves about marginalization and silencing to help our students build theoretical practical and ethical foundations for engaging with communities in ways that prioritize their needs and uphold the values of the profession to amplify the voices of people systematically targeted by the presidential administrations policies and actions and to engage in public discourse about the implications of current administrative policies as related to the core values of lis such as the right to privacy access freedom of speech and intellectual freedom the article draws parallels between social oppression as demonstrated in campaign rhetoric and presidential policy and institutional oppression within library spaces
critical literacy performances in online literature discussions	2016	in todays media laden environment the ability to read text from a critical literacy perspective is imperative particularly for librarians who influence childrens reading choices and behaviors this study examines the critical literacy performances of students in an online asynchronous graduate level childrens literature course using a qualitative approach to content analysis the findings indicate that students performed critical literacy in four ways 1 they unpacked the social identities and norms evident in the books 2 considered characters and events from multiple viewpoints 3 interrogated issues of power authority and agency and 4 analyzed the historical cultural and sociopolitical contexts of the books while the findings reveal critical literacy can be enacted in the context of online courses students critically literate thinking was sometimes limited and superficial suggesting students understanding of critical literacy could be deepened with additional instruction and scaffolding
behavior of librarians in school and public libraries with adolescents implications for practice and lis education	1999	a study of service encounters between adult library staff and adolescent users drawing on the communication theories of erving goffman michael lipsky and hartmut mokros is reported from three data sources a content analysis of professional guides to conduct group interviews with adult library staff and adolescents and taped observations of professional and clerical encounters in a high school library professional guides to practice are predominantly prescriptive advocating the avoidance of behaviors admittedly prevalent in practice adults and adolescents are congruent on what they want out of ideal encounters but admit to stereotypical views of the other based on age and appearance service is found to be multidimensional primarily clustered in very short interactions when classes change more predominantly concerned with help with equipment and less than half of what staff do in the high school library an equal amount of time is allocated to enforcement activities none of which is alluded to in professional guides to conduct influences of technology on practice and rhetoric on reality are discussed
inside board books representations of people of color	2010	research suggests that exposure to books and other resources about people who look like them and stories that reflect their world may contribute to an infant and toddler of colors developing appreciation of self the purpose of this study was to examine childrens board books published between 2003 and 2008 to determine the representation of people of color the findings were analyzed using the lenses of critical race theory and the typology developed by rudine sims bishop to describe african american childrens literature the results indicated that despite the increasing ethnic and racial diversity in the united states board books that feature people of color are rare and often present inauthentic and monolithic representations even rarer seems to be the creation of board books by authors and illustrators of color the authors conclude that the lack of board books featuring children of color denies these children an important resource for developing a positive self concept
small business perspectives on the role of rural libraries in economic development	2017	people living in the appalachian region including its rural areas face challenging economic social and cultural conditions with limited financial opportunities information poverty and unemployment and low levels of information literacy and educational attainment the roles played by rural public libraries in small business economic development in this region require exploratory study of representative small businesses to refocus library services and resources on their information needs and information seeking experiences this article proposes a user  and use based model to represent the information context and perspectives of such businesses in the state of tennessee as a case study in order to apply the lessons and insights to other parts of the united states it concludes with suggestions for the blueprint design of a public library small business tool kit an ideal resource that tennessees rural public libraries can develop for small businesses in the future
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy	2015	the field of library and information science lis has long struggled with issues of diversity and inclusion in the composition of information professionals in educational content and in connecting with many communities yet the field has also produced many innovative approaches to meeting unique community needs and incorporating issues of justice rights and equity into educational activities although these approaches rarely connect education and advocacy connecting these two can both facilitate better sharing of best practices in these areas and enable the educational and professional efforts of the field to better complement one another building on the virtuous circle concept that a truly effective focus on inclusion in the field will require involvement of both educators and professionals this article offers a series of cases from lis education programs and information institutions focusing on intersecting issues of diversity inclusion rights justice and equity
improving the leadership skills of pre service school librarians through leadership pre assessment	2014	school librarian guidelines encourage active leadership in schools two ways school librarian educators can encourage school librarians to be leaders are to embed the standards into the certification curriculum and to assess the leadership potential of preservice school librarians in order to adapt the curriculum to their needs this mixed method study examines how a pre assessment of leadership potential was implemented in a school librarianship certification program that emphasized leadership skills the results of the study indicate that the leadership pre assessment implemented during the program application process effectively identified teacher leaders with the potential to be exceptional school librarians this signifies that leadership pre assessments can enable school librarian educators to help pre service school librarians to improve their leadership skills
cultural competence a conceptual framework for library and information science professionals	2009	todays twentyâ€firstâ€century library and information science lis professionals are faced with the challenge of a growing population of individuals from diverse cultural backgrounds many of whom are from minority and underserved populations representing the poorest segments of society with little or no experience with libraries this article argues that although considerable efforts have been made by lis professionals to meet the needs of minorities and underserved populations a cultural competence framework is needed for these efforts to be successful this article proposes a conceptual framework for developing cultural competence for lis professionals and identifies three domains in which cultural competence is developed cognitive interpersonal and environmental the development of cultural competence within these domains is discussed and essential elements needed to develop cultural competence within the domains are identified
repositioning librarians how young people view the information sector	2001	more than 2000 students entering their first year of university studies completed questionnaires about the work roles future employment prospects educational requirements status and starting salaries of twelve occupations their responses were compared with us and canadian government labor force projections the results revealed a complex interplay of gender relations in the students perceptions of the occupational world and their roles within it the results also revealed an interesting positioning of the job title librarian relative to other fields unlike their assessment of the other occupations included in the study the students considerably underestimated the level of education required to be a librarian most did not believe that librarians require a university education they also underestimated librarians average starting salary and rated the occupations social status and future prospects to be lower than the other job titles taken together the results indicate that young people beginning their university studies hold views about career prospects in the information sector that are consistent with some labor force analysts views of occupational winners and losers the students see status opportunity and success to be attainable in fields such as computer engineering and systems analysis unfortunately they view the occupational present and future for librarians in a somewhat dimmer light a worrisome result in view of labor force data that suggest reasonably strong salary and employment opportunities for this occupation in both the united states and canada the implications of these findings for library and information science lis education are discussed in the context of gender and identity politics
the place of reference service in ranganathans theory of librarianship	1976	s r ranganathan approached librarianship theoretically he sought to establish fundamental principles from which effective library practices could be systematically derived although he contended that he had discovered these principles his five laws of library science through a rigorous scientific process it is clear that they and the concept of librarianship based on them are more fundamentally the product of ranganathans hindu tradition ethical and metaphysical premises characteristic of hinduism are reflected in his conception of the social and cosmic purpose of the library and of reference service as the basic means of fulfilling that purpose ranganathan believed that effective reference service depended on the intuitive flair of the librarian and on the use of an analyticosynthetic classification scheme while the dependence of his concept of reference service on intuition lessened its practical value for american librarians both his discussion of analyticosynthetic classification and the broad perspective from which he speaks are potentially important contributions to the understanding and practice of reference service in american libraries
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science	1997	the use of listserv software and use net newsgroups to support discussion among professionals in library and information science has become commonplace in the 1990s the current research was conducted to find out which topics of discussion are dominant and which functions are performed by the messages posted to discussion groups in library and information science in fall 1994 twenty one students in an introductory course on communication processes completed analyses of fourteen different electronic lists or newsgroups as their term projects messages on each list or newsgroup were captured for approximately one month each message or partial message was described in terms of its topic and its function and frequencies were calculated the topics most frequently discussed in each group were reasonably consistent with the groups stated purpose in addition technology topics were frequently discussed as well as topics related to the librarys clientele the most common message functions were announcements queries and responses of various types comments made in the context of free wheeling discussions also were common on some of the lists but were rare on others in addition to providing some baseline data on the topics and functions of messages in computer mediated discussions this study accomplished two pedagogical objectives to introduce new students to electronic discussion groups as a channel for professional communication and to introduce them to content analysis as a research method
american sculpture and the library of congress	2010	the thomas jefferson building of the library of congress is one of the more significant public structures in american architecture due for the most part to its wealth and quality of decoration including an extensive sculptural program executed in 1894â€“97 the architects entrusted the program to a committee of three prominent sculptors j q a ward o l warner and augustus saint gaudens nearly one hundred individual works were commissioned from thirty sculptors in spirit they affirm the enlightenment belief in public access to knowledge being essential to a democratic society and in style the tenets of the american renaissance an essentially conservative style that looked to antiquity and the italian renaissance to establish continuity with the traditions of the past
education for the common good	2018	this paper was produced as a collaborative project by a progressive librarianship class at an ala accredited masters of library and information science mlis program located in canada recent research in lis has identified a need for issues of social justice to be discussed more prominently in lis education from a uniquely student perspective the authors suggest how mlis programs can incorporate social justice as a key component in lis education specifically they encourage pedagogy that supports critical thinking on issues of social justice and provides scaffolding for progressive change for the common good within a library context this includes where social justice should appear in the lis curriculum who should teach about social justice what topics are currently of relevance and suggestions on key strategies for progressive change that can be taught in lis education
preparing future librarians to effectively serve their communities	2013	the field of library and information science lis continues to struggle with the issue of diversity and inclusion as we are perpetually working to increase racial and gender diversity in the profession the definition of diversity continues to broaden to include socioeconomic status education language literacy age sexual orientation ability geography and much more it is disheartening that the composition of our profession does not reflect the diverse patrons and communities that we serve in preparing the next generation of librarians lis programs need to be able to groom culturally competent librarians who can serve these broadening communities in this article we urge lis programs to develop the audacity and desire to experiment with their programs and saturate lis education with elements of diversity and inclusion we call for more dialogue in the form of symposia panels and discussions that will transform our lis programs to be relevant to our communities
faculty and student perceptions of distance education using television	1987	this paper includes a description of the evolution of the distance education efforts of the university of south carolina college of library and information science and the results of a study of the students who participated in those courses analysis of the data gathered indicated among others that there appear to be some differences in the various modes of instructional delivery in the perceptions of the students and faculty but the benefits of distance education especially using telecommunications technology is a viable alternative for the delivery of library and information science education
professional values and ethics as defined by the lis discipline	2003	the library and information science literature suggests a growing theoretical congruence in professional values and ethics these values and ethics may be interpreted and applied in a variety of ways and through a variety of institutions the library and information science lis community has perhaps not been as responsive as it might be to these issues lis educators should first seek to identify the scope of the issues and then help students engage in what may become one of the more controversial domains of our time
the politics of standard selection guides the case of the public library catalog	2003	using the public library catalog plc as an example we show how a well respected collection development tool contains ideological frames graduate students at a library science program at a north american university were asked as part of a class assignment to evaluate plc recommendations for subject areas in which they had background knowledge the plc often makes recommendations that have an imbalance of perspectives for example missing theoretical perspectives overemphasis of a particular facet or theory within a field missing voices lack authority do not have a close match between recommended title and topic area do not provide a comprehensive framework for the subject area and are problematic in terms of their usability for example lack of balance between scholarly and popular titles datedness and format
integrating research results and national board certification standards into a leadership curriculum for school library media specialists	2007	national guidelines and professional associations have recently focused on leadership as an essential action area for competent school library media specialists although for many years at the florida state university college of information leadership had been incorporated into the curriculum for school media specialists faculty prompted by a university wide leadership initiative and feedback from the field decided to examine possible ways to integrate an even stronger leadership component the national board for professional teaching standards tenets which focus on encouraging organizational leadership provided a natural foundation for curriculum development florida state university college of information faculty systematically developed a based on research leadership curriculum project lead using a variety of formal and informal data sources this research both validated and improved course content research findings substantively influenced the curriculum design that will produce school library media specialist leaders
shifting sands and the prophets dream	2019	this paper explores four main areas that will likely have an impact upon the future of information organization education in particular information organization education must be prepared for the continued shift from the use of traditional library cataloging standards to more web compliant linked data standards also there will be more emphasis on the ethical impact of information organization work and the achievement of behavioral competencies of students interested in information organization finally the paper addresses the need for educators to improve their teaching ability in order to more effectively impart the importance of information organization to all library and information science students
