Source,Target,Weight,Type
unpacking library posters a theoretical approach,13,0.052238806,undirected
unpacking library posters a theoretical approach,14,0.089552239,undirected
planning lis doctoral education around a focused theme,5,0.083870968,undirected
planning lis doctoral education around a focused theme,7,0.051612903,undirected
planning lis doctoral education around a focused theme,8,0.019354839,undirected
planning lis doctoral education around a focused theme,9,0.13548387,undirected
planning lis doctoral education around a focused theme,10,0.019354839,undirected
planning lis doctoral education around a focused theme,11,0.1483871,undirected
planning lis doctoral education around a focused theme,13,0.025806452,undirected
impolite hostilities and vague sympathies,1,0.15384615,undirected
impolite hostilities and vague sympathies,4,0.028846154,undirected
impolite hostilities and vague sympathies,5,0.067307692,undirected
impolite hostilities and vague sympathies,6,0.0096153846,undirected
impolite hostilities and vague sympathies,7,0.16346154,undirected
impolite hostilities and vague sympathies,11,0.028846154,undirected
impolite hostilities and vague sympathies,12,0.0096153846,undirected
studying online,1,0.034965035,undirected
studying online,3,0.006993007,undirected
studying online,5,0.29370629,undirected
studying online,7,0.11888112,undirected
studying online,8,0.11888112,undirected
studying online,9,0.027972028,undirected
studying online,11,0.020979021,undirected
physiological access as a social justice type in lis curricula,0,0.045454545,undirected
physiological access as a social justice type in lis curricula,1,0.11818182,undirected
physiological access as a social justice type in lis curricula,3,0.072727273,undirected
physiological access as a social justice type in lis curricula,5,0.081818182,undirected
physiological access as a social justice type in lis curricula,6,0.036363636,undirected
physiological access as a social justice type in lis curricula,7,0.036363636,undirected
physiological access as a social justice type in lis curricula,9,0.063636364,undirected
physiological access as a social justice type in lis curricula,14,0.090909091,undirected
are you my mentor identifying mentors and their roles in lis doctoral education,4,0.0089285714,undirected
are you my mentor identifying mentors and their roles in lis doctoral education,5,0.035714286,undirected
are you my mentor identifying mentors and their roles in lis doctoral education,6,0.071428571,undirected
are you my mentor identifying mentors and their roles in lis doctoral education,9,0.098214286,undirected
are you my mentor identifying mentors and their roles in lis doctoral education,11,0.0089285714,undirected
are you my mentor identifying mentors and their roles in lis doctoral education,13,0.089285714,undirected
are you my mentor identifying mentors and their roles in lis doctoral education,14,0.1875,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,0,0.021428571,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,2,0.05,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,3,0.057142857,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,5,0.021428571,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,8,0.035714286,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,9,0.26428571,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,10,0.028571429,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,13,0.021428571,undirected
mapping the infoscape of lis courses for intersections of health gender and health sexual orientation topics,14,0.028571429,undirected
recruiting and retaining students of color in lis programs perspectives of library and information professionals,5,0.15294118,undirected
recruiting and retaining students of color in lis programs perspectives of library and information professionals,8,0.011764706,undirected
recruiting and retaining students of color in lis programs perspectives of library and information professionals,9,0.035294118,undirected
recruiting and retaining students of color in lis programs perspectives of library and information professionals,10,0.058823529,undirected
recruiting and retaining students of color in lis programs perspectives of library and information professionals,11,0.21176471,undirected
crossing the globe,1,0.030487805,undirected
crossing the globe,3,0.054878049,undirected
crossing the globe,5,0.12195122,undirected
crossing the globe,7,0.067073171,undirected
crossing the globe,10,0.067073171,undirected
crossing the globe,13,0.036585366,undirected
crossing the globe,14,0.12195122,undirected
i have two legs not four,3,0.04,undirected
i have two legs not four,4,0.08,undirected
i have two legs not four,5,0.44,undirected
i have two legs not four,14,0.04,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,3,0.021276596,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,5,0.042553191,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,7,0.0070921986,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,8,0.13475177,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,9,0.10638298,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,11,0.021276596,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,12,0.014184397,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,13,0.028368794,undirected
changing course collaborative reflections of teaching taking race gender and sexuality in the information professions,14,0.10638298,undirected
civility and structural precarity for faculty of color in lis,1,0.1,undirected
civility and structural precarity for faculty of color in lis,3,0.0125,undirected
civility and structural precarity for faculty of color in lis,6,0.0125,undirected
civility and structural precarity for faculty of color in lis,7,0.15,undirected
civility and structural precarity for faculty of color in lis,8,0.025,undirected
civility and structural precarity for faculty of color in lis,9,0.1125,undirected
civility and structural precarity for faculty of color in lis,11,0.0875,undirected
the work calls for men,0,0.045751634,undirected
the work calls for men,8,0.12418301,undirected
the work calls for men,9,0.045751634,undirected
the work calls for men,11,0.058823529,undirected
the work calls for men,12,0.0065359477,undirected
the work calls for men,13,0.091503268,undirected
the work calls for men,14,0.078431373,undirected
the danger of an untold story,5,0.14285714,undirected
the danger of an untold story,6,0.047619048,undirected
the danger of an untold story,7,0.095238095,undirected
the danger of an untold story,11,0.19047619,undirected
the danger of an untold story,13,0.095238095,undirected
the danger of an untold story,14,0.047619048,undirected
do you really want a diverse program,3,0.0086206897,undirected
do you really want a diverse program,5,0.043103448,undirected
do you really want a diverse program,7,0.077586207,undirected
do you really want a diverse program,11,0.15517241,undirected
do you really want a diverse program,13,0.060344828,undirected
do you really want a diverse program,14,0.12931034,undirected
racial battle fatigue,1,0.015873016,undirected
racial battle fatigue,5,0.031746032,undirected
racial battle fatigue,7,0.095238095,undirected
racial battle fatigue,9,0.14285714,undirected
racial battle fatigue,10,0.11111111,undirected
racial battle fatigue,11,0.11111111,undirected
racial battle fatigue,14,0.095238095,undirected
diversity and lis education inclusion and the age of information,3,0.010204082,undirected
diversity and lis education inclusion and the age of information,4,0.010204082,undirected
diversity and lis education inclusion and the age of information,5,0.040816327,undirected
diversity and lis education inclusion and the age of information,6,0.020408163,undirected
diversity and lis education inclusion and the age of information,10,0.071428571,undirected
diversity and lis education inclusion and the age of information,13,0.040816327,undirected
diversity and lis education inclusion and the age of information,14,0.33673469,undirected
black students in predominantly white library schools,2,0.057971014,undirected
black students in predominantly white library schools,3,0.0072463768,undirected
black students in predominantly white library schools,4,0.050724638,undirected
black students in predominantly white library schools,5,0.27536232,undirected
black students in predominantly white library schools,7,0.028985507,undirected
black students in predominantly white library schools,11,0.057971014,undirected
stigmatizing disability,1,0.16831683,undirected
stigmatizing disability,2,0.089108911,undirected
stigmatizing disability,4,0.02970297,undirected
stigmatizing disability,6,0.059405941,undirected
stigmatizing disability,9,0.02970297,undirected
stigmatizing disability,13,0.11881188,undirected
stigmatizing disability,14,0.01980198,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,0,0.014925373,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,2,0.02238806,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,4,0.014925373,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,5,0.18656716,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,6,0.052238806,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,7,0.014925373,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,9,0.19402985,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,13,0.014925373,undirected
a despised semi profession perceptions of curricular content relating to gender and social issues among 1993 mlismls graduates,14,0.0074626866,undirected
student conceptions of group work,3,0.011904762,undirected
student conceptions of group work,4,0.10119048,undirected
student conceptions of group work,5,0.26785714,undirected
student conceptions of group work,8,0.035714286,undirected
student conceptions of group work,10,0.035714286,undirected
student conceptions of group work,13,0.035714286,undirected
student conceptions of group work,14,0.005952381,undirected
from the one mule tenant farmer to the hillbilly highway,7,0.017857143,undirected
from the one mule tenant farmer to the hillbilly highway,8,0.10714286,undirected
from the one mule tenant farmer to the hillbilly highway,11,0.053571429,undirected
from the one mule tenant farmer to the hillbilly highway,12,0.10714286,undirected
from the one mule tenant farmer to the hillbilly highway,14,0.17857143,undirected
we will not be silent,1,0.0078740157,undirected
we will not be silent,2,0.070866142,undirected
we will not be silent,3,0.062992126,undirected
we will not be silent,4,0.047244094,undirected
we will not be silent,6,0.031496063,undirected
we will not be silent,8,0.023622047,undirected
we will not be silent,9,0.0078740157,undirected
we will not be silent,10,0.078740157,undirected
we will not be silent,11,0.031496063,undirected
we will not be silent,13,0.1023622,undirected
we will not be silent,14,0.015748031,undirected
critical literacy performances in online literature discussions,1,0.18518519,undirected
critical literacy performances in online literature discussions,2,0.0074074074,undirected
critical literacy performances in online literature discussions,3,0.066666667,undirected
critical literacy performances in online literature discussions,4,0.022222222,undirected
critical literacy performances in online literature discussions,5,0.14074074,undirected
critical literacy performances in online literature discussions,7,0.022222222,undirected
critical literacy performances in online literature discussions,8,0.088888889,undirected
critical literacy performances in online literature discussions,10,0.014814815,undirected
critical literacy performances in online literature discussions,13,0.059259259,undirected
critical literacy performances in online literature discussions,14,0.022222222,undirected
behavior of librarians in school and public libraries with adolescents implications for practice and lis education,4,0.1746988,undirected
behavior of librarians in school and public libraries with adolescents implications for practice and lis education,5,0.036144578,undirected
behavior of librarians in school and public libraries with adolescents implications for practice and lis education,6,0.024096386,undirected
behavior of librarians in school and public libraries with adolescents implications for practice and lis education,8,0.078313253,undirected
behavior of librarians in school and public libraries with adolescents implications for practice and lis education,10,0.072289157,undirected
behavior of librarians in school and public libraries with adolescents implications for practice and lis education,12,0.042168675,undirected
behavior of librarians in school and public libraries with adolescents implications for practice and lis education,13,0.11445783,undirected
inside board books representations of people of color,1,0.039473684,undirected
inside board books representations of people of color,2,0.046052632,undirected
inside board books representations of people of color,4,0.039473684,undirected
inside board books representations of people of color,10,0.013157895,undirected
inside board books representations of people of color,11,0.17763158,undirected
inside board books representations of people of color,13,0.15789474,undirected
inside board books representations of people of color,14,0.046052632,undirected
small business perspectives on the role of rural libraries in economic development,1,0.014084507,undirected
small business perspectives on the role of rural libraries in economic development,2,0.042253521,undirected
small business perspectives on the role of rural libraries in economic development,3,0.042253521,undirected
small business perspectives on the role of rural libraries in economic development,4,0.042253521,undirected
small business perspectives on the role of rural libraries in economic development,8,0.014084507,undirected
small business perspectives on the role of rural libraries in economic development,10,0.0070422535,undirected
small business perspectives on the role of rural libraries in economic development,11,0.11971831,undirected
small business perspectives on the role of rural libraries in economic development,12,0.063380282,undirected
small business perspectives on the role of rural libraries in economic development,13,0.11971831,undirected
small business perspectives on the role of rural libraries in economic development,14,0.063380282,undirected
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy,1,0.035460993,undirected
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy,2,0.021276596,undirected
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy,4,0.0070921986,undirected
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy,5,0.056737589,undirected
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy,6,0.028368794,undirected
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy,10,0.063829787,undirected
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy,11,0.085106383,undirected
the virtuous circle revisited injecting diversity inclusion rights justice and equity into lis from education to advocacy,14,0.19858156,undirected
improving the leadership skills of pre service school librarians through leadership pre assessment,1,0.0082644628,undirected
improving the leadership skills of pre service school librarians through leadership pre assessment,2,0.033057851,undirected
improving the leadership skills of pre service school librarians through leadership pre assessment,7,0.23966942,undirected
improving the leadership skills of pre service school librarians through leadership pre assessment,9,0.090909091,undirected
improving the leadership skills of pre service school librarians through leadership pre assessment,11,0.16528926,undirected
improving the leadership skills of pre service school librarians through leadership pre assessment,12,0.05785124,undirected
improving the leadership skills of pre service school librarians through leadership pre assessment,13,0.0082644628,undirected
cultural competence a conceptual framework for library and information science professionals,1,0.03125,undirected
cultural competence a conceptual framework for library and information science professionals,4,0.0859375,undirected
cultural competence a conceptual framework for library and information science professionals,5,0.0390625,undirected
cultural competence a conceptual framework for library and information science professionals,7,0.1328125,undirected
cultural competence a conceptual framework for library and information science professionals,8,0.0703125,undirected
cultural competence a conceptual framework for library and information science professionals,9,0.0234375,undirected
cultural competence a conceptual framework for library and information science professionals,10,0.03125,undirected
cultural competence a conceptual framework for library and information science professionals,11,0.0703125,undirected
cultural competence a conceptual framework for library and information science professionals,14,0.03125,undirected
repositioning librarians how young people view the information sector,0,0.012048193,undirected
repositioning librarians how young people view the information sector,1,0.15261044,undirected
repositioning librarians how young people view the information sector,3,0.032128514,undirected
repositioning librarians how young people view the information sector,5,0.092369478,undirected
repositioning librarians how young people view the information sector,6,0.1124498,undirected
repositioning librarians how young people view the information sector,7,0.024096386,undirected
repositioning librarians how young people view the information sector,9,0.048192771,undirected
repositioning librarians how young people view the information sector,14,0.060240964,undirected
the place of reference service in ranganathans theory of librarianship,1,0.0061349693,undirected
the place of reference service in ranganathans theory of librarianship,2,0.26380368,undirected
the place of reference service in ranganathans theory of librarianship,3,0.024539877,undirected
the place of reference service in ranganathans theory of librarianship,6,0.055214724,undirected
the place of reference service in ranganathans theory of librarianship,12,0.012269939,undirected
the place of reference service in ranganathans theory of librarianship,13,0.11042945,undirected
the place of reference service in ranganathans theory of librarianship,14,0.012269939,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,0,0.12,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,2,0.031111111,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,3,0.18222222,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,5,0.048888889,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,6,0.035555556,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,7,0.022222222,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,8,0.0044444444,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,10,0.044444444,undirected
whats everybody talking about message functions and topics on electronic lists and newsgroups in information and library science,12,0.0088888889,undirected
american sculpture and the library of congress,0,0.053097345,undirected
american sculpture and the library of congress,2,0.16814159,undirected
american sculpture and the library of congress,7,0.10619469,undirected
american sculpture and the library of congress,8,0.017699115,undirected
american sculpture and the library of congress,9,0.053097345,undirected
american sculpture and the library of congress,12,0.026548673,undirected
american sculpture and the library of congress,13,0.11504425,undirected
education for the common good,1,0.015384615,undirected
education for the common good,3,0.046153846,undirected
education for the common good,5,0.15384615,undirected
education for the common good,6,0.12307692,undirected
education for the common good,8,0.053846154,undirected
education for the common good,9,0.084615385,undirected
education for the common good,10,0.0076923077,undirected
preparing future librarians to effectively serve their communities,1,0.026490066,undirected
preparing future librarians to effectively serve their communities,3,0.0066225166,undirected
preparing future librarians to effectively serve their communities,5,0.059602649,undirected
preparing future librarians to effectively serve their communities,6,0.0066225166,undirected
preparing future librarians to effectively serve their communities,9,0.072847682,undirected
preparing future librarians to effectively serve their communities,12,0.066225166,undirected
preparing future librarians to effectively serve their communities,13,0.10596026,undirected
preparing future librarians to effectively serve their communities,14,0.099337748,undirected
faculty and student perceptions of distance education using television,0,0.011235955,undirected
faculty and student perceptions of distance education using television,1,0.06741573,undirected
faculty and student perceptions of distance education using television,5,0.14606742,undirected
faculty and student perceptions of distance education using television,6,0.011235955,undirected
faculty and student perceptions of distance education using television,7,0.08988764,undirected
faculty and student perceptions of distance education using television,8,0.011235955,undirected
faculty and student perceptions of distance education using television,10,0.033707865,undirected
faculty and student perceptions of distance education using television,11,0.04494382,undirected
faculty and student perceptions of distance education using television,12,0.02247191,undirected
professional values and ethics as defined by the lis discipline,3,0.024096386,undirected
professional values and ethics as defined by the lis discipline,7,0.036144578,undirected
professional values and ethics as defined by the lis discipline,8,0.12048193,undirected
professional values and ethics as defined by the lis discipline,10,0.12048193,undirected
professional values and ethics as defined by the lis discipline,11,0.048192771,undirected
the politics of standard selection guides the case of the public library catalog,0,0.025210084,undirected
the politics of standard selection guides the case of the public library catalog,1,0.11764706,undirected
the politics of standard selection guides the case of the public library catalog,3,0.092436975,undirected
the politics of standard selection guides the case of the public library catalog,5,0.0084033613,undirected
the politics of standard selection guides the case of the public library catalog,7,0.025210084,undirected
the politics of standard selection guides the case of the public library catalog,8,0.050420168,undirected
the politics of standard selection guides the case of the public library catalog,10,0.058823529,undirected
the politics of standard selection guides the case of the public library catalog,11,0.042016807,undirected
the politics of standard selection guides the case of the public library catalog,13,0.15966387,undirected
the politics of standard selection guides the case of the public library catalog,14,0.0084033613,undirected
integrating research results and national board certification standards into a leadership curriculum for school library media specialists,2,0.0074074074,undirected
integrating research results and national board certification standards into a leadership curriculum for school library media specialists,3,0.014814815,undirected
integrating research results and national board certification standards into a leadership curriculum for school library media specialists,5,0.059259259,undirected
integrating research results and national board certification standards into a leadership curriculum for school library media specialists,6,0.022222222,undirected
integrating research results and national board certification standards into a leadership curriculum for school library media specialists,7,0.14074074,undirected
integrating research results and national board certification standards into a leadership curriculum for school library media specialists,8,0.11111111,undirected
integrating research results and national board certification standards into a leadership curriculum for school library media specialists,11,0.26666667,undirected
integrating research results and national board certification standards into a leadership curriculum for school library media specialists,13,0.0074074074,undirected
shifting sands and the prophets dream,2,0.029126214,undirected
shifting sands and the prophets dream,5,0.019417476,undirected
shifting sands and the prophets dream,7,0.029126214,undirected
shifting sands and the prophets dream,8,0.16504854,undirected
shifting sands and the prophets dream,11,0.16504854,undirected
shifting sands and the prophets dream,14,0.038834951,undirected
library and information science as a social science neutral and normative conceptions,1,0.011363636,undirected
library and information science as a social science neutral and normative conceptions,2,0.011363636,undirected
library and information science as a social science neutral and normative conceptions,3,0.045454545,undirected
library and information science as a social science neutral and normative conceptions,4,0.045454545,undirected
library and information science as a social science neutral and normative conceptions,6,0.11363636,undirected
library and information science as a social science neutral and normative conceptions,8,0.068181818,undirected
library and information science as a social science neutral and normative conceptions,12,0.090909091,undirected
library and information science as a social science neutral and normative conceptions,14,0.11363636,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,2,0.061452514,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,3,0.033519553,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,4,0.011173184,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,5,0.11173184,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,6,0.055865922,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,7,0.022346369,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,9,0.1452514,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,11,0.0055865922,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,12,0.039106145,undirected
the last socially acceptable prejudice gay and lesbian issues social responsibilities and coverage of these topics in mlismls programs,13,0.055865922,undirected
unequal legacies race and multiculturalism in the lis curriculum,0,0.039215686,undirected
unequal legacies race and multiculturalism in the lis curriculum,1,0.0065359477,undirected
unequal legacies race and multiculturalism in the lis curriculum,6,0.019607843,undirected
unequal legacies race and multiculturalism in the lis curriculum,7,0.0065359477,undirected
unequal legacies race and multiculturalism in the lis curriculum,8,0.065359477,undirected
unequal legacies race and multiculturalism in the lis curriculum,9,0.026143791,undirected
unequal legacies race and multiculturalism in the lis curriculum,10,0.10457516,undirected
unequal legacies race and multiculturalism in the lis curriculum,11,0.052287582,undirected
unequal legacies race and multiculturalism in the lis curriculum,12,0.039215686,undirected
unequal legacies race and multiculturalism in the lis curriculum,13,0.058823529,undirected
unequal legacies race and multiculturalism in the lis curriculum,14,0.16993464,undirected
in search of multiculturalism in the library science curriculum,1,0.042553191,undirected
in search of multiculturalism in the library science curriculum,4,0.010638298,undirected
in search of multiculturalism in the library science curriculum,5,0.12765957,undirected
in search of multiculturalism in the library science curriculum,7,0.053191489,undirected
in search of multiculturalism in the library science curriculum,10,0.063829787,undirected
in search of multiculturalism in the library science curriculum,11,0.063829787,undirected
in search of multiculturalism in the library science curriculum,12,0.12765957,undirected
promoting reflexivity and inclusivity in archival education research and practice,4,0.0084033613,undirected
promoting reflexivity and inclusivity in archival education research and practice,5,0.058823529,undirected
promoting reflexivity and inclusivity in archival education research and practice,6,0.20168067,undirected
promoting reflexivity and inclusivity in archival education research and practice,8,0.016806723,undirected
promoting reflexivity and inclusivity in archival education research and practice,10,0.033613445,undirected
promoting reflexivity and inclusivity in archival education research and practice,13,0.033613445,undirected
promoting reflexivity and inclusivity in archival education research and practice,14,0.10084034,undirected
censorship and childrens literature,0,0.037037037,undirected
censorship and childrens literature,1,0.043209877,undirected
censorship and childrens literature,3,0.061728395,undirected
censorship and childrens literature,6,0.0061728395,undirected
censorship and childrens literature,8,0.043209877,undirected
censorship and childrens literature,9,0.012345679,undirected
censorship and childrens literature,10,0.074074074,undirected
censorship and childrens literature,12,0.074074074,undirected
censorship and childrens literature,13,0.074074074,undirected
censorship and childrens literature,14,0.055555556,undirected
visualizing identities in lis literature,0,0.0066225166,undirected
visualizing identities in lis literature,1,0.052980132,undirected
visualizing identities in lis literature,3,0.12582781,undirected
visualizing identities in lis literature,5,0.072847682,undirected
visualizing identities in lis literature,9,0.01986755,undirected
visualizing identities in lis literature,10,0.13245033,undirected
visualizing identities in lis literature,13,0.01986755,undirected
visualizing identities in lis literature,14,0.052980132,undirected
supporting first year e learners in courses for the information professions,1,0.029411765,undirected
supporting first year e learners in courses for the information professions,3,0.029411765,undirected
supporting first year e learners in courses for the information professions,4,0.029411765,undirected
supporting first year e learners in courses for the information professions,5,0.25882353,undirected
supporting first year e learners in courses for the information professions,6,0.029411765,undirected
supporting first year e learners in courses for the information professions,7,0.041176471,undirected
supporting first year e learners in courses for the information professions,8,0.058823529,undirected
supporting first year e learners in courses for the information professions,11,0.035294118,undirected
supporting first year e learners in courses for the information professions,13,0.0058823529,undirected
the library in the lives of latino college students,0,0.048076923,undirected
the library in the lives of latino college students,3,0.11538462,undirected
the library in the lives of latino college students,5,0.076923077,undirected
the library in the lives of latino college students,6,0.067307692,undirected
the library in the lives of latino college students,7,0.0096153846,undirected
the library in the lives of latino college students,8,0.057692308,undirected
the library in the lives of latino college students,10,0.125,undirected
be slow skeptical and classify,2,0.14666667,undirected
be slow skeptical and classify,3,0.026666667,undirected
be slow skeptical and classify,7,0.026666667,undirected
be slow skeptical and classify,8,0.093333333,undirected
be slow skeptical and classify,10,0.013333333,undirected
be slow skeptical and classify,11,0.16,undirected
information access and exchange among small worlds in a democratic society the role of policy in shaping information behavior in the post 911 united states,0,0.19834711,undirected
information access and exchange among small worlds in a democratic society the role of policy in shaping information behavior in the post 911 united states,4,0.0082644628,undirected
information access and exchange among small worlds in a democratic society the role of policy in shaping information behavior in the post 911 united states,5,0.05785124,undirected
information access and exchange among small worlds in a democratic society the role of policy in shaping information behavior in the post 911 united states,6,0.074380165,undirected
information access and exchange among small worlds in a democratic society the role of policy in shaping information behavior in the post 911 united states,9,0.0082644628,undirected
information access and exchange among small worlds in a democratic society the role of policy in shaping information behavior in the post 911 united states,12,0.05785124,undirected
